"Dwellings and non-residential stock, 2012-2025"
""
"";""
"";"Purpose";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing and non-residential function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Housing function";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total";"Non-residential function: total"
"";"Topic";"Initial stock";"New construction";"Other additions";"Demolition";"Other withdrawals";"Corrections";"Stock balance";"Final stock";"Initial stock";"New construction";"Other additions";"Demolition";"Other withdrawals";"Corrections";"Stock balance";"Final stock";"Initial stock";"New construction";"Other additions";"Demolition";"Other withdrawals";"Corrections";"Stock balance";"Final stock"
"Regions";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"'s-Gravenhage (municipality)";"2019";"286837";"1882";"1763";"121";"819";"642";"3347";"290184";"259264";"1605";"1564";"98";"464";"621";"3228";"262492";"27573";"277";"199";"23";"355";"21";"119";"27692"
"'s-Gravenhage (municipality)";"2020";"290184";"2940";"1594";"350";"701";"-54";"3429";"293613";"262492";"2820";"1352";"298";"355";"-52";"3467";"265959";"27692";"120";"242";"52";"346";"-2";"-38";"27654"
"'s-Gravenhage (municipality)";"2021";"293613";"1659";"1110";"496";"514";"-24";"1735";"295348";"265959";"1399";"915";"358";"244";"-17";"1695";"267654";"27654";"260";"195";"138";"270";"-7";"40";"27694"
"'s-Gravenhage (municipality)";"2022";"295348";"2552";"1407";"461";"964";"48";"2582";"297930";"267654";"2452";"1114";"388";"658";"46";"2566";"270220";"27694";"100";"293";"73";"306";"2";"16";"27710"
"'s-Gravenhage (municipality)";"2023";"297930";"1745";"823";"36";"435";"-66";"2031";"299960";"270220";"1613";"677";"13";"189";"-66";"2022";"272242";"27710";"132";"146";"23";"246";"0";"9";"27718"
"'s-Gravenhage (municipality)";"2024";"299960";"1869";"682";"189";"565";"71";"1868";"301828";"272242";"1802";"531";"128";"348";"72";"1929";"274171";"27718";"67";"151";"61";"217";"-1";"-61";"27657"
"Rotterdam";"2015";"345101";"743";"1101";"846";"1237";"-43";"-282";"344819";"311324";"660";"943";"727";"983";"-49";"-156";"311168";"33777";"83";"158";"119";"254";"6";"-126";"33651"
"Rotterdam";"2016";"344819";"820";"3076";"459";"6400";"1157";"-1806";"343013";"311168";"754";"2441";"384";"4868";"582";"-1475";"309693";"33651";"66";"635";"75";"1532";"575";"-331";"33320"
"Rotterdam";"2017";"343013";"1583";"1361";"301";"1235";"62";"1470";"344483";"309693";"1526";"1203";"240";"940";"94";"1643";"311336";"33320";"57";"158";"61";"295";"-32";"-173";"33147"
"Rotterdam";"2018";"344483";"551";"1045";"495";"937";"-18";"146";"344629";"311336";"525";"877";"400";"654";"-87";"261";"311597";"33147";"26";"168";"95";"283";"69";"-115";"33032"
"Rotterdam";"2019";"344629";"2449";"3379";"341";"1426";"23";"4084";"348713";"311597";"2006";"2975";"219";"910";"116";"3968";"315565";"33032";"443";"404";"122";"516";"-93";"116";"33148"
"Rotterdam";"2020";"348713";"2297";"1117";"377";"634";"-31";"2372";"351085";"315565";"2005";"908";"298";"298";"63";"2380";"317945";"33148";"292";"209";"79";"336";"-94";"-8";"33140"
"Rotterdam";"2021";"351085";"1229";"1048";"457";"626";"7";"1201";"352286";"317945";"1095";"868";"377";"351";"30";"1265";"319210";"33140";"134";"180";"80";"275";"-23";"-64";"33076"
"Rotterdam";"2022";"352286";"2185";"1078";"719";"622";"-17";"1905";"354192";"319210";"2113";"876";"600";"330";"13";"2072";"321282";"33076";"72";"202";"119";"292";"-30";"-167";"32910"
"Rotterdam";"2023";"354192";"3759";"819";"428";"595";"1";"3556";"357748";"321282";"3213";"686";"314";"278";"8";"3315";"324597";"32910";"546";"133";"114";"317";"-7";"241";"33151"
"Rotterdam";"2024";"357748";"3275";"2642";"749";"1198";"-95";"3875";"361624";"324597";"2886";"2325";"647";"668";"-85";"3811";"328408";"33151";"389";"317";"102";"530";"-10";"64";"33216"
"Utrecht (municipality)";"2015";"161866";"1575";"681";"81";"301";"12";"1886";"163752";"147511";"1458";"507";"35";"124";"5";"1811";"149322";"14355";"117";"174";"46";"177";"7";"75";"14430"
"Utrecht (municipality)";"2016";"163752";"2032";"732";"356";"225";"5";"2188";"165940";"149322";"1885";"646";"308";"138";"2";"2087";"151409";"14430";"147";"86";"48";"87";"3";"101";"14531"
"Utrecht (municipality)";"2017";"165940";"2485";"1820";"312";"4406";"-5";"-418";"165522";"151409";"2255";"1671";"233";"4272";"1";"-578";"150831";"14531";"230";"149";"79";"134";"-6";"160";"14691"
"Utrecht (municipality)";"2018";"165522";"2742";"961";"115";"214";"14";"3388";"168910";"150831";"2452";"712";"47";"103";"0";"3014";"153845";"14691";"290";"249";"68";"111";"14";"374";"15065"
"Utrecht (municipality)";"2019";"168910";"2565";"837";"82";"399";"11";"2932";"171842";"153845";"2467";"619";"44";"208";"-1";"2833";"156678";"15065";"98";"218";"38";"191";"12";"99";"15164"
"Utrecht (municipality)";"2020";"171842";"2562";"1183";"315";"377";"2";"3055";"174897";"156678";"2424";"987";"187";"233";"2";"2993";"159671";"15164";"138";"196";"128";"144";"0";"62";"15226"
"Utrecht (municipality)";"2021";"174897";"2825";"570";"68";"381";"35";"2981";"177878";"159671";"2621";"399";"22";"251";"33";"2780";"162451";"15226";"204";"171";"46";"130";"2";"201";"15427"
"Utrecht (municipality)";"2022";"177878";"3100";"507";"280";"216";"-47";"3064";"180942";"162451";"2956";"381";"243";"101";"-44";"2949";"165400";"15427";"144";"126";"37";"115";"-3";"115";"15542"
"Utrecht (municipality)";"2023";"180942";"1891";"532";"405";"216";"-38";"1764";"182706";"165400";"1755";"401";"293";"129";"-10";"1724";"167124";"15542";"136";"131";"112";"87";"-28";"40";"15582"
"Utrecht (municipality)";"2024";"182706";"1675";"594";"394";"209";"17";"1683";"184393";"167124";"1580";"465";"352";"126";"41";"1608";"168736";"15582";"95";"129";"42";"83";"-24";"75";"15657"
"Source: CBS"
